id,name,type,category_tags,neighborhood,price_range,halal,cuisine,interest_tags,coordinates_lat,coordinates_lon,typical_duration_minutes,best_time_of_day,short_description,source_url,last_updated_ts
e9434e479fbe,Izu Oshima Tsubaki Matsuri(Camellia) Festival,event_venue,Festival,Tokyo,,unknown,,Festival,,,180,morning,Izu Oshima Tsubaki Matsuri(Camellia) Festival,https://www.gotokyo.org/en/spot/ev112/index.html,2025-12-17T14:47:03.907277
d0ec72141c61,Ome Plum Festival,event_venue,Festival,Tokyo,,unknown,,Festival,,,180,,Ome Plum Festival,https://www.gotokyo.org/en/spot/869/index.html,2025-12-17T14:47:05.046190
819db7b5cc11,Freesia Festival in Hachijojima Island,event_venue,Festival,Tokyo,,unknown,,"Festival,Free Entry",,,180,,Freesia Festival in Hachijojima Island,https://www.gotokyo.org/en/spot/ev167/index.html,2025-12-17T14:47:06.173789
e61a2b488388,Kanda Festival,event_venue,Festival,Tokyo,,unknown,,Festival,,,180,,Kanda Festival,https://www.gotokyo.org/en/spot/ev029/index.html,2025-12-17T14:47:06.762395
88daaebbfedc,Sanja Festival,event_venue,Festival,Tokyo,,unknown,,Festival,,,180,,Sanja Festival,https://www.gotokyo.org/en/spot/ev030/index.html,2025-12-17T14:47:07.336767
b386f044a727,Fukagawa Hachiman Festival,event_venue,Festival,Tokyo,,unknown,,Festival,,,180,,Fukagawa Hachiman Festival,https://www.gotokyo.org/en/spot/ev093/index.html,2025-12-17T14:47:07.920687
d434b88f42bb,"Nov 15, 2025 - Nov 24, 2025


""Laid-Back Camp△"" 10th Anniversary Exhibition＼ I collected camping memories／",event_venue,"Nov 15, 2025 - Nov 24, 2025",Tokyo,,unknown,,"Nov 15, 2025 - Nov 24, 2025",,,90,morning,"""Laid-Back Camp△"" 10th Anniversary Exhibition＼ I collected camping memories／",https://www.gotokyo.org/en/spot/ev361/index.html,2025-12-17T14:47:12.334332
6175f33545f9,"Dec 5, 2025 - Mar 15, 2026


Oiran Night Rock ―The Pulse of Tradition",event_venue,"Dec 5, 2025 - Mar 15, 2026",Tokyo,,unknown,,"Dec 5, 2025 - Mar 15, 2026,Nightlife",,,90,evening,Oiran Night Rock ―The Pulse of Tradition,https://www.gotokyo.org/en/spot/ev325/index.html,2025-12-17T14:47:12.900350
809173d4af55,"Dec 17, 2025 - Dec 19, 2025


Sensoji Temple Year-end Market (Hagoita Market)",event_venue,"Dec 17, 2025 - Dec 19, 2025",Tokyo,,unknown,,"Dec 17, 2025 - Dec 19, 2025",,,60,,Sensoji Temple Year-end Market (Hagoita Market),https://www.gotokyo.org/en/spot/ev152/index.html,2025-12-17T14:47:13.475222
e1590c21d7e6,"Nov 17, 2025 - Dec 25, 2025


TOKYO TOWER Winter Fantasy 2025 Little Twin Stars Xmas Illumination",event_venue,"Nov 17, 2025 - Dec 25, 2025",Tokyo,,unknown,,"Nov 17, 2025 - Dec 25, 2025,Nightlife",,,90,evening,TOKYO TOWER Winter Fantasy 2025 Little Twin Stars Xmas Illumination,https://www.gotokyo.org/en/spot/ev135/index.html,2025-12-17T14:47:14.063644
df6f59134e50,"Dec 5, 2025 - Jan 31, 2026


Meguro River Illuminations 2025",event_venue,"Dec 5, 2025 - Jan 31, 2026",Tokyo,,unknown,,"Nightlife,Dec 5, 2025 - Jan 31, 2026",,,90,evening,Meguro River Illuminations 2025,https://www.gotokyo.org/en/spot/ev125/index.html,2025-12-17T14:47:14.603665
b020baca1b71,"Nov 12, 2025 - Feb 15, 2026


SHINJUKU SOUTH ILLUMINATION",event_venue,"Nov 12, 2025 - Feb 15, 2026",Tokyo,,unknown,,"Nov 12, 2025 - Feb 15, 2026,Nightlife",,,90,evening,SHINJUKU SOUTH ILLUMINATION,https://www.gotokyo.org/en/spot/ev134/index.html,2025-12-17T14:47:15.193313
717202bc66b6,"Nov 28, 2025 - Dec 24, 2025


Nishi-Shinjuku 1-Chome Ginkgo Trees Light Display",event_venue,"Nov 28, 2025 - Dec 24, 2025",Tokyo,,unknown,,"Nov 28, 2025 - Dec 24, 2025",,,90,,Nishi-Shinjuku 1-Chome Ginkgo Trees Light Display,https://www.gotokyo.org/en/spot/ev307/index.html,2025-12-17T14:47:15.775144
ddcac6c57ce6,"Dec 6, 2025


Oji Bamboo Rake Fair (Kumade-ichi)",event_venue,"Dec 6, 2025",Tokyo,,unknown,,"Dec 6, 2025",,,60,morning,Oji Bamboo Rake Fair (Kumade-ichi),https://www.gotokyo.org/en/spot/ev127/index.html,2025-12-17T14:47:16.387196
41046744d08a,"Dec 15, 2025 - Jan 16, 2026


Setagaya Boro-ichi (Flea Market)",event_venue,"Dec 15, 2025 - Jan 16, 2026",Tokyo,,unknown,,"Dec 15, 2025 - Jan 16, 2026",,,60,,Setagaya Boro-ichi (Flea Market),https://www.gotokyo.org/en/spot/ev114/index.html,2025-12-17T14:47:16.924750
2cedc709abb1,"Dec 22, 2025 - Jan 7, 2026


Mukojima-Hyakkaen Gardens: Seven Plants of Spring Display",event_venue,"Dec 22, 2025 - Jan 7, 2026",Tokyo,,unknown,,"Dec 22, 2025 - Jan 7, 2026",,,90,,Mukojima-Hyakkaen Gardens: Seven Plants of Spring Display,https://www.gotokyo.org/en/spot/ev109/index.html,2025-12-17T14:47:17.526709
4a4c28b814bc,"Nov 13, 2025 - Feb 15, 2026


Marunouchi Illuminations 2025",event_venue,"Nov 13, 2025 - Feb 15, 2026",Tokyo,,unknown,,"Nov 13, 2025 - Feb 15, 2026,Nightlife",,,90,evening,Marunouchi Illuminations 2025,https://www.gotokyo.org/en/spot/ev002/index.html,2025-12-17T14:47:18.108884
93cf9f14bd3d,"Nov 28, 2025 - Dec 9, 2025


Special Night Viewing of the Autumn Leaves at Rikugien Gardens",event_venue,"Nov 28, 2025 - Dec 9, 2025",Tokyo,,unknown,,"Nightlife,Nov 28, 2025 - Dec 9, 2025",,,90,evening,Special Night Viewing of the Autumn Leaves at Rikugien Gardens,https://www.gotokyo.org/en/spot/ev126/index.html,2025-12-17T14:47:18.695895
193fa8f1ec19,"May 22, 2025 - Mar 31, 2026
Free Cultural Experiences Just Steps from Haneda Airport!",event_venue,"May 22, 2025 - Mar 31, 2026",Tokyo,,unknown,,"May 22, 2025 - Mar 31, 2026,Free Entry",,,90,,"May 22, 2025 - Mar 31, 2026
Free Cultural Experiences Just Steps from Haneda Airport!",https://www.gotokyo.org/en/event/ota/20250522.html,2025-12-17T14:47:24.716802
ff24f4c52219,"May 23, 2025 - Mar 31, 2026
Discover Ota City Through Stamp Collecting",event_venue,"Discover Ota City Through Stamp Collecting,May 23, 2025 - Mar 31, 2026",Tokyo,,unknown,,"Discover Ota City Through Stamp Collecting,May 23, 2025 - Mar 31, 2026",,,90,morning,"May 23, 2025 - Mar 31, 2026
Discover Ota City Through Stamp Collecting",https://www.gotokyo.org/en/event/ota/20250613stamp.html,2025-12-17T14:47:25.285578
